Date,PlannerName,TaskName,Status
9/18/2020,Planner4,Indonesian,Done
11/22/2020,Planner4,Arabic,New
12/10/2019,Planner3,Hebrew,New
7/26/2020,Planner1,Persian,New
1/8/2020,Planner1,Greek,Done
2/10/2020,Planner2,Bislama,New
4/8/2020,Planner4,Dhivehi,In Progress
4/25/2020,Planner1,Tok Pisin,In Progress
9/2/2020,Planner2,Spanish,Done
12/2/2020,Planner1,Fijian,New
7/15/2020,Planner3,Macedonian,In Progress
5/12/2020,Planner3,Nepali,New
3/16/2020,Planner2,Pashto,In Progress
11/24/2020,Planner1,Macedonian,In Progress
1/26/2020,Planner1,Moldovan,New
3/23/2020,Planner4,Papiamento,New
4/2/2020,Planner4,Kazakh,In Progress
4/12/2020,Planner3,Burmese,In Progress
3/6/2020,Planner2,Burmese,New
9/9/2020,Planner4,Romanian,Done
3/19/2020,Planner1,New Zealand Sign Language,Done
11/5/2020,Planner1,Macedonian,In Progress
4/17/2020,Planner3,Danish,New
7/29/2020,Planner3,Dari,In Progress
2/25/2020,Planner2,Filipino,Done
2/3/2020,Planner4,Kazakh,New
10/12/2020,Planner2,Azeri,In Progress
6/28/2020,Planner2,Swedish,Done
10/30/2020,Planner2,Northern Sotho,Done
2/19/2020,Planner2,Kyrgyz,In Progress
10/14/2020,Planner1,French,New
11/23/2020,Planner1,West Frisian,New
4/3/2020,Planner3,Yiddish,New
1/13/2020,Planner3,Malay,In Progress
8/3/2020,Planner2,Dzongkha,New
5/13/2020,Planner3,German,Done
3/6/2020,Planner3,Bosnian,Done
1/6/2020,Planner4,Guaraní,In Progress
9/26/2020,Planner3,Quechua,Done
4/19/2020,Planner3,Thai,New
7/15/2020,Planner1,Oriya,Done
1/4/2020,Planner3,Lithuanian,In Progress
3/18/2020,Planner3,Bulgarian,New
9/18/2020,Planner4,Lithuanian,Done
12/18/2019,Planner4,Amharic,Done
3/16/2020,Planner2,Tajik,In Progress
6/18/2020,Planner3,Tetum,New
4/21/2020,Planner4,Tsonga,Done
7/13/2020,Planner4,Albanian,In Progress
7/4/2020,Planner1,Luxembourgish,New
7/8/2020,Planner1,Ndebele,In Progress
2/9/2020,Planner4,Māori,New
12/2/2020,Planner2,Dari,In Progress
6/1/2020,Planner4,Māori,Done
10/6/2020,Planner2,Malay,New
8/19/2020,Planner4,Kurdish,In Progress
11/7/2020,Planner1,Tok Pisin,In Progress
6/25/2020,Planner2,Persian,In Progress
8/31/2020,Planner3,Filipino,In Progress
8/15/2020,Planner1,Dhivehi,New
2/19/2020,Planner1,Swedish,New
12/12/2019,Planner3,Aymara,In Progress
1/23/2020,Planner3,Haitian Creole,Done
11/5/2020,Planner1,Dari,New
4/26/2020,Planner4,Gagauz,Done
9/18/2020,Planner3,Latvian,New
8/17/2020,Planner4,Tsonga,Done
1/9/2020,Planner1,Bulgarian,New
11/25/2020,Planner2,West Frisian,Done
8/17/2020,Planner4,Maltese,In Progress
5/30/2020,Planner2,Bulgarian,Done
7/20/2020,Planner4,Croatian,Done
8/23/2020,Planner3,Bengali,In Progress
7/26/2020,Planner3,Afrikaans,Done
5/22/2020,Planner3,Georgian,Done
12/29/2019,Planner4,Fijian,In Progress
5/11/2020,Planner3,Dari,Done
5/2/2020,Planner1,Icelandic,Done
2/26/2020,Planner1,Ndebele,In Progress
4/12/2020,Planner1,Macedonian,New
3/29/2020,Planner2,Hebrew,Done
6/6/2020,Planner4,Amharic,In Progress
3/6/2020,Planner4,Aymara,New
6/10/2020,Planner4,Maltese,In Progress
12/23/2019,Planner1,Spanish,Done
3/9/2020,Planner2,Tajik,In Progress
3/14/2020,Planner2,Amharic,Done
2/1/2020,Planner4,Dzongkha,In Progress
3/31/2020,Planner1,Gujarati,Done
10/30/2020,Planner1,Kurdish,In Progress
7/20/2020,Planner3,Portuguese,In Progress
3/13/2020,Planner1,Dutch,In Progress
1/30/2020,Planner2,New Zealand Sign Language,Done
9/10/2020,Planner1,Azeri,New
10/17/2020,Planner1,Papiamento,Done
2/9/2020,Planner3,French,New
6/1/2020,Planner4,Pashto,New
8/1/2020,Planner1,Tswana,New
4/27/2020,Planner1,Bislama,Done
2/25/2020,Planner4,German,In Progress
3/10/2020,Planner2,Spanish,New
6/5/2020,Planner1,Irish Gaelic,In Progress
11/4/2020,Planner1,Polish,In Progress
2/16/2020,Planner4,Albanian,Done
1/1/2020,Planner3,Luxembourgish,Done
2/26/2020,Planner3,Chinese,New
6/30/2020,Planner1,Lithuanian,In Progress
8/26/2020,Planner1,Tok Pisin,In Progress
8/17/2020,Planner3,Korean,In Progress
1/2/2020,Planner3,Tamil,New
3/31/2020,Planner4,Fijian,New
3/6/2020,Planner2,Nepali,In Progress
4/25/2020,Planner3,Kyrgyz,In Progress
2/12/2020,Planner1,Greek,New
4/29/2020,Planner1,Malay,Done
4/30/2020,Planner4,Kazakh,Done
10/3/2020,Planner3,Bosnian,New
3/4/2020,Planner4,Thai,Done
6/28/2020,Planner2,Telugu,New
1/24/2020,Planner1,Indonesian,New
10/31/2020,Planner4,Yiddish,New
11/3/2020,Planner4,Malagasy,Done
1/6/2020,Planner2,Papiamento,Done
10/10/2020,Planner3,Kazakh,In Progress
8/9/2020,Planner4,Malayalam,Done
10/20/2020,Planner2,French,New
8/18/2020,Planner4,Hungarian,New
11/24/2020,Planner1,Montenegrin,New
1/11/2020,Planner3,Finnish,In Progress
9/15/2020,Planner1,Māori,In Progress
2/21/2020,Planner3,New Zealand Sign Language,In Progress
9/1/2020,Planner2,Burmese,New
11/18/2020,Planner2,Oriya,In Progress
10/5/2020,Planner4,Pashto,Done
12/12/2019,Planner1,Malay,In Progress
8/25/2020,Planner3,Oriya,New
9/21/2020,Planner2,Kyrgyz,New
2/17/2020,Planner2,Swati,New
11/16/2020,Planner3,Luxembourgish,In Progress
10/12/2020,Planner4,German,Done
12/13/2019,Planner4,New Zealand Sign Language,Done
12/19/2019,Planner1,Sotho,New
5/16/2020,Planner3,Belarusian,Done
9/4/2020,Planner4,Tswana,Done
9/11/2020,Planner2,Hiri Motu,Done
12/14/2019,Planner1,Māori,Done
5/8/2020,Planner2,Lao,New
9/3/2020,Planner3,English,In Progress
11/21/2020,Planner4,Punjabi,Done
5/5/2020,Planner3,Somali,New
5/19/2020,Planner2,German,Done
3/11/2020,Planner1,Bosnian,New
1/26/2020,Planner4,Tok Pisin,In Progress
6/22/2020,Planner2,Romanian,In Progress
11/5/2020,Planner4,Pashto,Done
1/18/2020,Planner1,Filipino,New
2/1/2020,Planner3,Mongolian,New
11/26/2020,Planner2,Kashmiri,In Progress
7/8/2020,Planner3,Montenegrin,Done
12/17/2019,Planner2,Dzongkha,Done
4/29/2020,Planner3,Quechua,Done
6/20/2020,Planner4,Amharic,New
6/17/2020,Planner4,Kyrgyz,New
8/17/2020,Planner4,Somali,New
9/3/2020,Planner1,Malagasy,New
5/19/2020,Planner4,Dutch,New
1/9/2020,Planner1,Kazakh,In Progress
11/5/2020,Planner3,Japanese,New
10/24/2020,Planner4,Kannada,New
4/7/2020,Planner1,Polish,In Progress
1/18/2020,Planner2,Icelandic,Done
11/24/2020,Planner1,Lithuanian,New
12/6/2019,Planner2,Thai,Done
11/23/2020,Planner1,Korean,In Progress
6/20/2020,Planner3,Burmese,In Progress
1/22/2020,Planner3,Aymara,Done
2/20/2020,Planner1,Czech,New
11/17/2020,Planner3,Malayalam,In Progress
10/2/2020,Planner4,Tsonga,Done
8/10/2020,Planner1,Albanian,In Progress
5/27/2020,Planner2,Georgian,New
5/9/2020,Planner3,Thai,New
8/19/2020,Planner2,Kashmiri,Done
9/7/2020,Planner1,English,In Progress
4/30/2020,Planner1,Tok Pisin,In Progress
3/13/2020,Planner3,Zulu,In Progress
10/25/2020,Planner3,Tajik,Done
12/1/2020,Planner2,Punjabi,Done
3/4/2020,Planner2,Georgian,New
10/28/2020,Planner2,Kazakh,New
12/21/2019,Planner4,Macedonian,Done
8/27/2020,Planner3,Italian,In Progress
10/8/2020,Planner4,Albanian,Done
10/5/2020,Planner2,Czech,Done
2/28/2020,Planner2,Catalan,Done
10/2/2020,Planner4,Bulgarian,New
5/7/2020,Planner1,Indonesian,New
1/10/2020,Planner2,Romanian,Done
6/9/2020,Planner1,Pashto,New
12/7/2019,Planner4,Dzongkha,Done
11/2/2020,Planner1,Dhivehi,New
11/5/2020,Planner3,Quechua,Done
1/27/2020,Planner1,Dari,In Progress
8/3/2020,Planner3,Georgian,Done
9/5/2020,Planner3,Ndebele,Done
1/17/2020,Planner3,Filipino,Done
11/2/2020,Planner2,Bulgarian,New
10/23/2020,Planner1,Icelandic,Done
6/3/2020,Planner2,Sotho,In Progress
1/30/2020,Planner1,Norwegian,New
5/15/2020,Planner4,Lao,In Progress
12/22/2019,Planner2,Kurdish,Done
6/7/2020,Planner2,Hindi,Done
12/19/2019,Planner3,Kurdish,Done
11/25/2020,Planner3,German,Done
2/12/2020,Planner2,Hiri Motu,In Progress
4/17/2020,Planner2,Kyrgyz,In Progress
4/27/2020,Planner3,Bengali,New
5/9/2020,Planner2,Somali,In Progress
8/28/2020,Planner1,Japanese,Done
9/24/2020,Planner4,Norwegian,New
12/13/2019,Planner2,Yiddish,In Progress
10/21/2020,Planner2,Norwegian,New
7/2/2020,Planner4,Bengali,Done
3/24/2020,Planner3,Somali,Done
10/14/2020,Planner4,Oriya,Done
9/13/2020,Planner4,Swahili,In Progress
10/20/2020,Planner4,Portuguese,Done
12/17/2019,Planner3,Aymara,Done
5/17/2020,Planner1,Nepali,Done
12/10/2019,Planner1,Somali,New
5/24/2020,Planner1,Oriya,Done
10/6/2020,Planner2,Dutch,New
1/14/2020,Planner2,Guaraní,In Progress
10/22/2020,Planner2,Hungarian,In Progress
6/24/2020,Planner2,Assamese,Done
9/3/2020,Planner1,Irish Gaelic,Done
6/9/2020,Planner2,Kashmiri,Done
3/5/2020,Planner3,Marathi,In Progress
10/25/2020,Planner2,Malayalam,New
9/4/2020,Planner3,Telugu,Done
5/13/2020,Planner1,Malayalam,New
9/9/2020,Planner4,Swedish,Done
5/21/2020,Planner4,Norwegian,In Progress
12/20/2019,Planner1,Nepali,New
5/30/2020,Planner3,Dutch,In Progress
12/24/2019,Planner2,Burmese,Done
11/10/2020,Planner3,Sotho,New
2/17/2020,Planner2,Macedonian,In Progress
12/18/2019,Planner2,Swedish,New
10/18/2020,Planner2,Yiddish,New
12/31/2019,Planner2,Kazakh,In Progress
1/19/2020,Planner2,Portuguese,In Progress
4/2/2020,Planner2,Fijian,In Progress
10/24/2020,Planner2,Kazakh,Done
11/1/2020,Planner1,Filipino,Done
9/5/2020,Planner1,Swedish,Done
3/25/2020,Planner1,Dutch,In Progress
1/19/2020,Planner3,West Frisian,In Progress
7/3/2020,Planner3,Oriya,Done
11/4/2020,Planner2,Indonesian,Done
4/10/2020,Planner2,Polish,New
1/14/2020,Planner4,Norwegian,In Progress
1/9/2020,Planner2,Portuguese,Done
5/31/2020,Planner2,Croatian,New
6/21/2020,Planner3,Burmese,New
4/16/2020,Planner4,Tajik,New
11/20/2020,Planner1,Indonesian,New
1/16/2020,Planner3,Chinese,Done
1/27/2020,Planner2,Nepali,In Progress
4/25/2020,Planner2,Quechua,In Progress
1/8/2020,Planner1,Finnish,New
5/4/2020,Planner4,Estonian,In Progress
3/20/2020,Planner3,Irish Gaelic,In Progress
4/10/2020,Planner1,Spanish,In Progress
4/26/2020,Planner3,Czech,Done
3/13/2020,Planner4,Bosnian,Done
4/7/2020,Planner4,Hebrew,Done
9/6/2020,Planner4,Polish,New
8/5/2020,Planner1,Greek,In Progress
9/4/2020,Planner3,Swahili,New
7/4/2020,Planner3,Romanian,New
5/24/2020,Planner1,Finnish,New
2/21/2020,Planner3,Afrikaans,New
1/23/2020,Planner3,Kurdish,Done
6/2/2020,Planner4,Lithuanian,Done
1/10/2020,Planner1,Luxembourgish,Done
10/9/2020,Planner4,Filipino,Done
10/1/2020,Planner3,Greek,In Progress
9/24/2020,Planner4,Dari,Done
6/13/2020,Planner3,Swahili,New
8/12/2020,Planner3,Latvian,In Progress
12/13/2019,Planner3,Dzongkha,New
6/3/2020,Planner1,Lao,In Progress
10/1/2020,Planner2,Māori,New
11/18/2020,Planner1,Swati,Done
7/4/2020,Planner2,Danish,In Progress
3/11/2020,Planner1,Korean,New
10/19/2020,Planner4,Hindi,New
4/17/2020,Planner1,Italian,Done
4/28/2020,Planner3,New Zealand Sign Language,Done
3/19/2020,Planner4,Nepali,Done
3/28/2020,Planner4,Swahili,New
2/9/2020,Planner4,Tsonga,New
6/17/2020,Planner2,Estonian,New
6/2/2020,Planner4,Romanian,New
3/6/2020,Planner3,Tamil,In Progress
4/10/2020,Planner1,Icelandic,Done
2/13/2020,Planner1,Malay,In Progress
1/28/2020,Planner3,Assamese,In Progress
9/22/2020,Planner2,Belarusian,Done
2/28/2020,Planner2,Danish,Done
2/14/2020,Planner3,Chinese,In Progress
1/29/2020,Planner1,Kurdish,New
8/28/2020,Planner2,Kurdish,New
3/27/2020,Planner4,Kurdish,In Progress
7/2/2020,Planner4,Kannada,Done
1/24/2020,Planner3,Pashto,In Progress
9/30/2020,Planner4,Gujarati,In Progress
5/16/2020,Planner3,Kannada,Done
8/24/2020,Planner4,Guaraní,New
8/7/2020,Planner1,Korean,Done
6/30/2020,Planner3,Azeri,In Progress
2/21/2020,Planner1,Hindi,Done
